Attaching to dataclay_dspython_1
[36mdspython_1     |[0m --- Using global.properties at /home/dataclayusr/dataclay/cfgfiles/global.properties
[36mdspython_1     |[0m 2020-05-22 16:50:31,309 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:38] Creating an instance from the class: {3923c8d4-ec9f-4484-9c60-103ecb26ce86}
[36mdspython_1     |[0m 2020-05-22 16:50:31,309 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:43] MetaClassID {3923c8d4-ec9f-4484-9c60-103ecb26ce86}: full class name `classes.dClayBlock` | namespace `DemoNS`
[36mdspython_1     |[0m 2020-05-22 16:50:31,309 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.commonruntime.ExecutionGateway] [DEBUG] [ExecutionGateway:83] New dataClay instance (without __call__) of class `dClayBlock`
[36mdspython_1     |[0m 2020-05-22 16:50:31,310 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:299] Populating internal fields for the class. Provided kwargs: {'object_id': UUID('a11b7f23-2b53-46ec-a46b-9983e72c438d')} deserializing=True
[36mdspython_1     |[0m 2020-05-22 16:50:31,310 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:713] Deserializing object a11b7f23-2b53-46ec-a46b-9983e72c438d
[36mdspython_1     |[0m 2020-05-22 16:50:31,310 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:766] Deserializing list of properties: [PreprocessedProperty(name='block', position=0, type=<dataclay.util.management.classmgr.Type.Type object at 0x7fcb541b0ef0>, beforeUpdate=None, afterUpdate=None, inMaster=False)]
[36mdspython_1     |[0m 2020-05-22 16:50:31,310 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:774] Not null property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,310 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:790] Setting value   (0, 0)	2
[36mdspython_1     |[0m   (1, 0)	5 for property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,310 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object a11b7f23-2b53-46ec-a46b-9983e72c438d
[36mdspython_1     |[0m 2020-05-22 16:50:31,311 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:210] Object a11b7f23-2b53-46ec-a46b-9983e72c438d deserialized
[36mdspython_1     |[0m 2020-05-22 16:50:31,311 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object a11b7f23-2b53-46ec-a46b-9983e72c438d
[36mdspython_1     |[0m 2020-05-22 16:50:31,311 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:370] Finished make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,311 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [VERBOSE] [ExecutionEnvironmentService:127] MakePersistent finished, sending response
[36mdspython_1     |[0m 2020-05-22 16:50:31,313 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:368] Starting make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,313 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:225] Deserializing volatile with object ID 07655452-45b9-46c7-8f4d-d21cd360fe6f
[36mdspython_1     |[0m 2020-05-22 16:50:31,313 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:200] Get or create new volatile instance in EE with object id 07655452-45b9-46c7-8f4d-d21cd360fe6f in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:31,313 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:94] Miss in Heap object 07655452-45b9-46c7-8f4d-d21cd360fe6f
[36mdspython_1     |[0m 2020-05-22 16:50:31,313 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:38] Creating an instance from the class: {3923c8d4-ec9f-4484-9c60-103ecb26ce86}
[36mdspython_1     |[0m 2020-05-22 16:50:31,313 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:43] MetaClassID {3923c8d4-ec9f-4484-9c60-103ecb26ce86}: full class name `classes.dClayBlock` | namespace `DemoNS`
[36mdspython_1     |[0m 2020-05-22 16:50:31,313 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.commonruntime.ExecutionGateway] [DEBUG] [ExecutionGateway:83] New dataClay instance (without __call__) of class `dClayBlock`
[36mdspython_1     |[0m 2020-05-22 16:50:31,313 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:299] Populating internal fields for the class. Provided kwargs: {'object_id': UUID('07655452-45b9-46c7-8f4d-d21cd360fe6f')} deserializing=True
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:713] Deserializing object 07655452-45b9-46c7-8f4d-d21cd360fe6f
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:766] Deserializing list of properties: [PreprocessedProperty(name='block', position=0, type=<dataclay.util.management.classmgr.Type.Type object at 0x7fcb541b0ef0>, beforeUpdate=None, afterUpdate=None, inMaster=False)]
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:774] Not null property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:790] Setting value   (0, 0)	3
[36mdspython_1     |[0m   (1, 0)	6 for property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object 07655452-45b9-46c7-8f4d-d21cd360fe6f
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:210] Object 07655452-45b9-46c7-8f4d-d21cd360fe6f deserialized
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object 07655452-45b9-46c7-8f4d-d21cd360fe6f
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:370] Finished make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,314 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [VERBOSE] [ExecutionEnvironmentService:127] MakePersistent finished, sending response
[36mdspython_1     |[0m 2020-05-22 16:50:35,630 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [DEBUG] [ExecutionEnvironmentService:162] Starting ExecuteImplementation handling
[36mdspython_1     |[0m 2020-05-22 16:50:35,630 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:423] Starting new execution
[36mdspython_1     |[0m 2020-05-22 16:50:35,630 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:424] SessionID of current execution: b612ba09-1962-4a50-babd-7f2261e54809
[36mdspython_1     |[0m 2020-05-22 16:50:35,630 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:425] ObjectID of current execution: 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:35,630 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:426] ImplementationID in which the method belongs: 837eecbd-2461-4b76-b656-66fd8a7d00b2
[36mdspython_1     |[0m 2020-05-22 16:50:35,631 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:115] Get or create new instance from SL with object id 68f240b4-e4fe-41ac-b784-3dc50b640758 in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:35,631 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:91] Hit in Heap object 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:35,631 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:432] DESERIALIZING PARAMETERS
[36mdspython_1     |[0m 2020-05-22 16:50:35,631 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:251] Deserializing immutable type at index 0
[36mdspython_1     |[0m 2020-05-22 16:50:35,631 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.serialization.python.util.PyTypeWildcardWrapper] [DEBUG] [PyTypeWildcardWrapper:94] Deserializing DataClayObject from pickle
[36mdspython_1     |[0m 2020-05-22 16:50:35,703 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [DEBUG] [ExecutionEnvironmentService:162] Starting ExecuteImplementation handling
[36mdspython_1     |[0m 2020-05-22 16:50:35,703 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:423] Starting new execution
[36mdspython_1     |[0m 2020-05-22 16:50:35,703 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:424] SessionID of current execution: b612ba09-1962-4a50-babd-7f2261e54809
[36mdspython_1     |[0m 2020-05-22 16:50:35,703 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:425] ObjectID of current execution: 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:35,703 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:426] ImplementationID in which the method belongs: 837eecbd-2461-4b76-b656-66fd8a7d00b2
[36mdspython_1     |[0m 2020-05-22 16:50:35,703 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:115] Get or create new instance from SL with object id 68f240b4-e4fe-41ac-b784-3dc50b640758 in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:35,703 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:91] Hit in Heap object 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:35,703 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:432] DESERIALIZING PARAMETERS
[36mdspython_1     |[0m 2020-05-22 16:50:35,704 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:251] Deserializing immutable type at index 0
[36mdspython_1     |[0m 2020-05-22 16:50:35,704 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.serialization.python.util.PyTypeWildcardWrapper] [DEBUG] [PyTypeWildcardWrapper:94] Deserializing DataClayObject from pickle
[36mdspython_1     |[0m 2020-05-22 16:50:35,779 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [DEBUG] [ExecutionEnvironmentService:162] Starting ExecuteImplementation handling
[36mdspython_1     |[0m 2020-05-22 16:50:35,779 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:423] Starting new execution
[36mdspython_1     |[0m 2020-05-22 16:50:35,779 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:424] SessionID of current execution: b612ba09-1962-4a50-babd-7f2261e54809
[36mdspython_1     |[0m 2020-05-22 16:50:35,779 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:425] ObjectID of current execution: 565268d4-7989-433f-9017-099fb123c687
[36mdspython_1     |[0m 2020-05-22 16:50:35,779 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:426] ImplementationID in which the method belongs: 837eecbd-2461-4b76-b656-66fd8a7d00b2
[36mdspython_1     |[0m 2020-05-22 16:50:35,780 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:115] Get or create new instance from SL with object id 565268d4-7989-433f-9017-099fb123c687 in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:35,780 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:91] Hit in Heap object 565268d4-7989-433f-9017-099fb123c687
[36mdspython_1     |[0m 2020-05-22 16:50:35,780 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:432] DESERIALIZING PARAMETERS
[36mdspython_1     |[0m 2020-05-22 16:50:35,780 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:251] Deserializing immutable type at index 0
[36mdspython_1     |[0m 2020-05-22 16:50:35,780 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.serialization.python.util.PyTypeWildcardWrapper] [DEBUG] [PyTypeWildcardWrapper:94] Deserializing DataClayObject from pickle
